!SET_MAP	"data\mission\SMaps\save04.map"
!SET_MAX_PLAYER	3

// set first player ( human )
!SET_HUMAN_PLAYER 0
!SET_CURR_PLAYER 0
!SET_RGB_COLOR 460799

!ENABLE_PLAYER 0
!CENTER_SCREEN 24 43
!CLEAR_UP 24 43 10	// klärt auf
!RELEASE_HOUSE 9
!RELEASE_HOUSE 14
!RELEASE_HOUSE 27
!BLOCK_HOUSE 1
!BLOCK_HOUSE 2
!BLOCK_HOUSE 4
!BLOCK_HOUSE 10
!BLOCK_HOUSE 12
!BLOCK_HOUSE 17
!BLOCK_HOUSE 18
!BLOCK_HOUSE 23
!BLOCK_HOUSE 29


!ADD_GOAL 3  1  0  1
!ADD_GOAL 3  1  0  2
!ADD_GOAL 4  1  0  1
!ADD_GOAL 4  1  0  2
!ADD_LOST_GOAL 3  0  0  0

!SET_UNIT 4 9 41	// setze gehilfe
!SET_UNIT 5 17 45	// setze gehilfe
!SET_UNIT 6 14 43	// setze gehilfe
!SET_UNIT 6 20 40	// setze gehilfe
!SET_UNIT 3 16 39	// setze gehilfe
	
!SET_HOUSE 8 10 38
!SET_STREET 9 39
!SET_HOUSE 22 14 42
!SET_STREET 14 43
!SET_STREET 15 43
!SET_STREET 16 43
!SET_STREET 17 40
!SET_STREET 20 40
!SET_HOUSE 7 20 39
!SET_STREET 21 40
!SET_STREET 18 40
!SET_STREET 19 40
!SET_STREET 10 39
!SET_STREET 11 39
!SET_STREET 14 39
!SET_STREET 15 39
!SET_STREET 13 39
!SET_STREET 12 39
!SET_FIELD 8 40
!SET_HOUSE 27 20 43
!SET_HOUSE 12 16 38
!SET_HOUSE 11 26 43
!SET_STREET 18 44
!SET_STREET 20 44
!SET_STREET 21 44
!SET_STREET 22 44
!SET_STREET 24 44
!SET_STREET 25 44
!SET_STREET 23 44
!SET_STREET 19 44
!SET_STREET 17 44
!SET_STREET 17 42
!SET_STREET 16 39
!SET_STREET 16 40
!SET_STREET 16 41
!SET_STREET 16 42
!SET_STREET 17 43
!SET_FIELD 9 40
!SET_FIELD 11 40
!SET_FIELD 10 40
!SET_FIELD 8 41
!SET_FIELD 9 41
!SET_FIELD 10 41
!SET_FIELD 11 41
!SET_FIELD 8 42
!SET_FIELD 9 42
!SET_FIELD 10 42
!SET_FIELD 11 42
!SET_FIELD 7 42
!SET_FIELD 7 41
!SET_FIELD 7 40
!SET_STREET 18 45
!SET_STREET 17 41
!SET_HOUSE 0 15 47
!SET_STREET 14 48
!SET_STREET 15 48
!SET_STREET 16 48
!SET_STREET 17 48
!SET_STREET 17 47
!SET_STREET 17 46
!SET_STREET 17 45
!SET_STREET 18 41
!SET_STREET 15 40

!SET_UNIT_BY_STOCK 9 	// setze bauarbeiter
!SET_UNIT_BY_STOCK 9 	// setze bauarbeiter
!SET_UNIT_BY_STOCK 9 	// setze bauarbeiter
!SET_UNIT_BY_STOCK 0 	// setze einheit
!SET_UNIT_BY_STOCK 0 	// setze einheit
!SET_UNIT_BY_STOCK 0 	// setze einheit
!SET_UNIT_BY_STOCK 0	// setze einheit

!SET_GROUP 17 28 38 1 4 12	// bogenschützen
!SET_GROUP 15 25 34 2 4 12	// axtkämpfer
!SET_GROUP 19 20 34 2 3 9	// lanzenträger

!ADD_WARE 1  70		// steine
!ADD_WARE 2  50		// bretter
!ADD_WARE 10 40 	// brot
!ADD_WARE 8  60	        // wein
!ADD_WARE 13 20	        // wurst
!ADD_WARE 7  70		// gold
!ADD_WARE 26 20		// pferde
!ADD_WARE 27 20		// fisch

!SET_CURR_PLAYER 1
!ENABLE_PLAYER 1
!SET_AI_PLAYER
!SET_AI_START_POSITION 98 40
!SET_AI_NO_BUILD
!SET_AI_CHARACTER RECRUT_COUNT 40000
!SET_AI_CHARACTER TOWN_DEFENSE 50
!SET_AI_CHARACTER CONSTRUCTORS 0
!SET_AI_CHARACTER RECRUTS 5
!SET_AI_CHARACTER TROUP_PARAM 0 12 4
!SET_AI_CHARACTER TROUP_PARAM 1 12 4
!SET_AI_CHARACTER TROUP_PARAM 2 8 4
!SET_AI_CHARACTER TROUP_PARAM 3 8 4
!SET_AI_CHARACTER WORKER_FACTOR	6
!SET_MAP_COLOR	233
!SET_ALLIANCE 2 1

!SET_HOUSE 9 103 30
!SET_HOUSE 9 94 31
!SET_HOUSE 0 98 32
!SET_STREET 94 32
!SET_STREET 95 32
!SET_STREET 95 33
!SET_STREET 96 33
!SET_STREET 97 33
!SET_STREET 99 33
!SET_STREET 95 34
!SET_STREET 98 33
!SET_STREET 100 34
!SET_STREET 101 32
!SET_STREET 102 31
!SET_STREET 103 31
!SET_STREET 101 33
!SET_STREET 102 32
!SET_STREET 100 33
!SET_HOUSE 19 104 36
!SET_STREET 100 35
!SET_STREET 101 35
!SET_STREET 101 37
!SET_STREET 102 37
!SET_STREET 103 37
!SET_STREET 101 36
!SET_HOUSE 8 88 35
!SET_HOUSE 8 82 37
!SET_HOUSE 22 86 40
!SET_STREET 81 38
!SET_STREET 82 38
!SET_STREET 83 38
!SET_STREET 84 38
!SET_STREET 84 37
!SET_STREET 84 36
!SET_STREET 86 36
!SET_STREET 87 36
!SET_STREET 88 36
!SET_STREET 84 39
!SET_STREET 84 40
!SET_STREET 84 41
!SET_STREET 85 41
!SET_HOUSE 8 91 42
!SET_FIELD 80 39
!SET_FIELD 81 39
!SET_FIELD 82 39
!SET_FIELD 83 39
!SET_FIELD 80 40
!SET_FIELD 82 40
!SET_FIELD 83 40
!SET_FIELD 81 40
!SET_FIELD 79 40
!SET_FIELD 79 39
!SET_FIELD 80 38
!SET_FIELD 79 38
!SET_FIELD 79 36
!SET_FIELD 79 37
!SET_FIELD 78 37
!SET_FIELD 78 36
!SET_FIELD 78 38
!SET_FIELD 78 39
!SET_FIELD 77 36
!SET_FIELD 77 38
!SET_FIELD 77 37
!SET_FIELD 85 35
!SET_FIELD 84 35
!SET_FIELD 84 34
!SET_FIELD 85 34
!SET_FIELD 85 33
!SET_FIELD 84 33
!SET_FIELD 83 34
!SET_FIELD 83 33
!SET_FIELD 84 32
!SET_FIELD 85 32
!SET_FIELD 86 32
!SET_FIELD 83 32
!SET_STREET 86 41
!SET_STREET 87 41
!SET_STREET 88 41
!SET_FIELD 89 37
!SET_FIELD 90 37
!SET_FIELD 90 38
!SET_FIELD 89 38
!SET_STREET 88 40
!SET_STREET 88 39
!SET_STREET 88 38
!SET_STREET 85 36
!SET_STREET 88 37
!SET_FIELD 86 37
!SET_FIELD 86 38
!SET_FIELD 87 37
!SET_FIELD 87 38
!SET_FIELD 85 38
!SET_FIELD 85 37
!SET_FIELD 89 36
!SET_FIELD 90 36
!SET_FIELD 91 37
!SET_FIELD 91 36
!SET_FIELD 91 38
!SET_STREET 89 39
!SET_STREET 91 39
!SET_STREET 92 39
!SET_STREET 90 39
!SET_STREET 88 42
!SET_STREET 88 43
!SET_STREET 89 43
!SET_STREET 90 43
!SET_FIELD 89 44
!SET_FIELD 90 44
!SET_FIELD 91 44
!SET_FIELD 92 44
!SET_FIELD 89 45
!SET_FIELD 90 45
!SET_FIELD 91 45
!SET_FIELD 92 45
!SET_FIELD 89 46
!SET_FIELD 90 46
!SET_FIELD 91 46
!SET_FIELD 92 46
!SET_FIELD 88 46
!SET_FIELD 88 45
!SET_FIELD 88 44
!SET_FIELD 87 45
!SET_FIELD 87 44
!SET_HOUSE 22 93 38
!SET_STREET 93 39
!SET_HOUSE 8 97 45
!SET_STREET 91 43
!SET_STREET 92 43
